material_query,book,page,record_index,material_class,N,unusable_family,unusable_RMS,unusable_G_rho,unusable_FDTD_status,selected_family,selected_specific_model,selected_RMS,RMS_ratio_selected_over_unusable
MoSe2,MoSe2,Pruszynska-Karbownik-e,4,chalcogenide_or_2D,4,RP,0.000249100553428,,NOT_EXPORTED_OR_AUDIT_REJECTED,CP,AnalyticalCP,0.0003112281492167,1.249407698753497
ZrO2,ZrO2,Synowicki,1,oxide,5,RP,0.0004464121176095,,NOT_EXPORTED_OR_AUDIT_REJECTED,CP,SemiCP,0.0005503171738262,1.232755904506139
WS2,WS2,Munkhbat-o,1,chalcogenide_or_2D,3,RP,0.0908448138909815,1.0000769894476096,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1114383499865545,1.2266891769989898
Si,Si,Franta-450K,11,semiconductor,5,RP,0.001145869354162,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0013788473994173,1.2033199024034307
WSe2,WSe2,Gu-4L,4,chalcogenide_or_2D,3,RP,0.1083240298564065,1.2836002454248692,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1296142794922921,1.196542259959381
VO2,VO2,Oguntoye-20C,1,oxide,1,RP,0.1164292414482975,1.1187214157116585,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.137577953556226,1.1816443347466108
Si,Si,Franta-400K,10,semiconductor,1,RP,0.2800756119697925,1.0000267903960254,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.3306045460397063,1.1804117599334696
Si,Si,Franta-150K,3,semiconductor,1,RP,0.2705089651807351,1.0000040727093251,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.318306788899342,1.1766958950387163
Si3N4,Si3N4,Vogt-3,4,nitride_or_carbide,2,RP,0.0030970075743409,1.000001122827613,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0036393353557687,1.1751134824212426
Si,Si,Green-1995,23,semiconductor,4,RP,0.1419090202122347,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1655448467641641,1.1665561957695176
MoS2,MoS2,Beal,1,chalcogenide_or_2D,2,RP,0.1797947043796183,1.0000399591254072,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.2090632314321908,1.1627885935437507
WSe2,WSe2,Munkhbat-o,6,chalcogenide_or_2D,5,RP,0.0185142368100365,1.0527659475154925,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0211081922844363,1.1401059898398633
InAs,InAs,Adachi,1,semiconductor,5,RP,0.1191359003446413,1.0000055563248664,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1355594024299895,1.1378551892237152
MoO3,MoO3,Lajaunie-gamma,3,oxide,3,RP,0.0516785936688813,1.0000085478304812,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0574779345159077,1.1122194014060123
Si,Si,Franta-350K,9,semiconductor,1,RP,0.2983957390780278,1.0000173554688825,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.3283159394617748,1.1002701998232056
GeS2,GeS2,Slavich-abinitio-alpha,3,chalcogenide_or_2D,1,RP,0.0372457127392266,1.0000232107805818,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0408825242487711,1.097643761981611
Si,Si,Franta-20C,5,semiconductor,1,RP,0.3019069584111105,1.0000137577471062,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.3250951579385423,1.076805780328707
