material_query,book,page,record_index,material_class,N,RP_RMS,RP_abs_RMS,RP_G_rho,RP_model_json,CP_family_RMS,CP_family_specific_model,CP_family_G_rho,CP_family_model_json,CP_vs_RP_log10_RMS_gain,selected_reason
MoS2,MoS2,Song-6L,10,chalcogenide_or_2D,3,0.0902638451250131,2.136876450289113,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-6L/RP_M3.json,0.1034327885896542,SemiCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-6L/SCP_M3.json,-0.05914440362526518,RP has lower RMS than CP-family at N=3
MoS2,MoS2,Song-6L,10,chalcogenide_or_2D,5,0.0295636837214278,0.5788570443869854,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-6L/RP_M5.json,0.0378114317072632,AnalyticalCP,1.0000000000000022,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoS2_MoS2_Song-6L/CP_M5.json,-0.10686457451819162,RP has lower RMS than CP-family at N=5
MoSe2,MoSe2,Beal,1,chalcogenide_or_2D,2,0.1002727360196985,1.701853735859739,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Beal/RP_M2.json,0.1009102671182344,AnalyticalCP,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Beal/CP_M2.json,-0.0027524906241566923,RP has lower RMS than CP-family at N=2
MoSe2,MoSe2,Munkhbat-o,3,chalcogenide_or_2D,3,0.0565051811989484,1.4234298271440475,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Munkhbat-o/RP_M3.json,0.1034344838399571,AnalyticalCP,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Munkhbat-o/CP_M3.json,-0.2625770796269181,RP has lower RMS than CP-family at N=3
MoSe2,MoSe2,Munkhbat-o,3,chalcogenide_or_2D,4,0.0551152268279925,1.3951110287687307,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Munkhbat-o/RP_M4.json,0.083142344933204,AnalyticalCP,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Munkhbat-o/CP_M4.json,-0.17855067001169903,RP has lower RMS than CP-family at N=4
MoSe2,MoSe2,Munkhbat-o,3,chalcogenide_or_2D,5,0.020726083668809,0.5039483455486249,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/MoSe2_MoSe2_Munkhbat-o/RP_M5.json,,none,,,,RP usable
Nb2O5,Nb2O5,Franta,1,oxide,4,0.0006960236170439,0.003910309207361,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Nb2O5_Nb2O5_Franta/RP_M4.json,0.0007270578166903,SemiCP,1.0000000728963236,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Nb2O5_Nb2O5_Franta/SCP_M4.json,-0.01894497188533669,RP has lower RMS than CP-family at N=4
Si,Si,Franta-100K,1,semiconductor,2,0.015835344657138,0.5429004912583988,1.0000004277116246,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-100K/RP_M2.json,0.0308661719642375,AnalyticalCP,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-100K/CP_M2.json,-0.2898552511817658,RP has lower RMS than CP-family at N=2
Si,Si,Franta-10K,2,semiconductor,2,0.0185761716235521,0.6239652744642378,1.0000001748624237,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-10K/RP_M2.json,0.032787756316544,AnalyticalCP,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-10K/CP_M2.json,-0.2467554838656666,RP has lower RMS than CP-family at N=2
Si,Si,Franta-10K,2,semiconductor,5,0.0026588816742808,0.0621970697577199,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-10K/RP_M5.json,0.0032684485096294,AnalyticalCP,1.0000003417419163,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Si_Si_Franta-10K/CP_M5.json,-0.08964263682120428,RP has lower RMS than CP-family at N=5
