old_record_key,new_record_key,status,match_rule,n_matches,all_matches,old_candidates
As2S3_As2S3_Slavich-alpha,VISNIR_ANY_As2S3_Slavich-alpha_0.5_0.9um,UNIQUE,middle_exact:As2S3_Slavich-alpha,1,VISNIR_ANY_As2S3_Slavich-alpha_0.5_0.9um,As2S3_As2S3_Slavich-alpha;As2S3_Slavich-alpha
As2S3_As2S3_Slavich-beta,VISNIR_ANY_As2S3_Slavich-beta_0.5_0.9um,UNIQUE,middle_exact:As2S3_Slavich-beta,1,VISNIR_ANY_As2S3_Slavich-beta_0.5_0.9um,As2S3_As2S3_Slavich-beta;As2S3_Slavich-beta
As2S3_As2S3_Slavich-gamma,VISNIR_ANY_As2S3_Slavich-gamma_0.5_0.9um,UNIQUE,middle_exact:As2S3_Slavich-gamma,1,VISNIR_ANY_As2S3_Slavich-gamma_0.5_0.9um,As2S3_As2S3_Slavich-gamma;As2S3_Slavich-gamma
As2S3_As2S3_Synowicki,VISNIR_ANY_As2S3_Synowicki_0.3_1.1um,UNIQUE,middle_exact:As2S3_Synowicki,1,VISNIR_ANY_As2S3_Synowicki_0.3_1.1um,As2S3_As2S3_Synowicki;As2S3_Synowicki
As2Se3_As2Se3_Joseph-400nm,VISNIR_ANY_As2Se3_Joseph-400nm_0.3_1.1um,UNIQUE,middle_exact:As2Se3_Joseph-400nm,1,VISNIR_ANY_As2Se3_Joseph-400nm_0.3_1.1um,As2Se3_As2Se3_Joseph-400nm;As2Se3_Joseph-400nm
As2Se3_As2Se3_Joseph-700nm,VISNIR_ANY_As2Se3_Joseph-700nm_0.3_1.1um,UNIQUE,middle_exact:As2Se3_Joseph-700nm,1,VISNIR_ANY_As2Se3_Joseph-700nm_0.3_1.1um,As2Se3_As2Se3_Joseph-700nm;As2Se3_Joseph-700nm
Au_Au_Babar,VISNIR_ANY_Au_Babar_0.3_1.1um,UNIQUE,middle_exact:Au_Babar,1,VISNIR_ANY_Au_Babar_0.3_1.1um,Au_Au_Babar;Au_Babar
Au_Au_Chen,VISNIR_ANY_Au_Chen_0.3_0.6um,UNIQUE,middle_exact:Au_Chen,1,VISNIR_ANY_Au_Chen_0.3_0.6um,Au_Au_Chen;Au_Chen
Au_Au_Ciesielski,VISNIR_ANY_Au_Ciesielski_0.3_1.1um,UNIQUE,middle_exact:Au_Ciesielski,1,VISNIR_ANY_Au_Ciesielski_0.3_1.1um,Au_Au_Ciesielski;Au_Ciesielski
Au_Au_Ciesielski-Ge,VISNIR_ANY_Au_Ciesielski-Ge_0.3_1.1um,UNIQUE,middle_exact:Au_Ciesielski-Ge,1,VISNIR_ANY_Au_Ciesielski-Ge_0.3_1.1um,Au_Au_Ciesielski-Ge;Au_Ciesielski-Ge
Au_Au_Hagemann,VISNIR_ANY_Au_Hagemann_0.3_1.1um,UNIQUE,middle_exact:Au_Hagemann,1,VISNIR_ANY_Au_Hagemann_0.3_1.1um,Au_Au_Hagemann;Au_Hagemann
Au_Au_Hagemann-2,VISNIR_ANY_Au_Hagemann-2_0.3_0.8266um,UNIQUE,middle_exact:Au_Hagemann-2,1,VISNIR_ANY_Au_Hagemann-2_0.3_0.8266um,Au_Au_Hagemann-2;Au_Hagemann-2
Au_Au_Johnson,VISNIR_ANY_Au_Johnson_0.3_1.1um,UNIQUE,middle_exact:Au_Johnson,1,VISNIR_ANY_Au_Johnson_0.3_1.1um,Au_Au_Johnson;Au_Johnson
Au_Au_Klinavicius-11.4nm,VISNIR_ANY_Au_Klinavicius-11.4nm_0.4_0.9um,UNIQUE,middle_exact:Au_Klinavicius-11.4nm,1,VISNIR_ANY_Au_Klinavicius-11.4nm_0.4_0.9um,Au_Au_Klinavicius-11.4nm;Au_Klinavicius-11.4nm
Au_Au_Klinavicius-19.7nm,VISNIR_ANY_Au_Klinavicius-19.7nm_0.4_0.9um,UNIQUE,middle_exact:Au_Klinavicius-19.7nm,1,VISNIR_ANY_Au_Klinavicius-19.7nm_0.4_0.9um,Au_Au_Klinavicius-19.7nm;Au_Klinavicius-19.7nm
Au_Au_Klinavicius-30.4nm,VISNIR_ANY_Au_Klinavicius-30.4nm_0.4_0.9um,UNIQUE,middle_exact:Au_Klinavicius-30.4nm,1,VISNIR_ANY_Au_Klinavicius-30.4nm_0.4_0.9um,Au_Au_Klinavicius-30.4nm;Au_Klinavicius-30.4nm
Au_Au_Klinavicius-40.0nm,VISNIR_ANY_Au_Klinavicius-40.0nm_0.4_0.9um,UNIQUE,middle_exact:Au_Klinavicius-40.0nm,1,VISNIR_ANY_Au_Klinavicius-40.0nm_0.4_0.9um,Au_Au_Klinavicius-40.0nm;Au_Klinavicius-40.0nm
Au_Au_Klinavicius-7.2nm,VISNIR_ANY_Au_Klinavicius-7.2nm_0.4_0.9um,UNIQUE,middle_exact:Au_Klinavicius-7.2nm,1,VISNIR_ANY_Au_Klinavicius-7.2nm_0.4_0.9um,Au_Au_Klinavicius-7.2nm;Au_Klinavicius-7.2nm
Au_Au_Lemarchand-11.7nm,VISNIR_ANY_Au_Lemarchand-11.7nm_0.35_1.1um,UNIQUE,middle_exact:Au_Lemarchand-11.7nm,1,VISNIR_ANY_Au_Lemarchand-11.7nm_0.35_1.1um,Au_Au_Lemarchand-11.7nm;Au_Lemarchand-11.7nm
Au_Au_Lemarchand-3.96nm,VISNIR_ANY_Au_Lemarchand-3.96nm_0.35_1.1um,UNIQUE,middle_exact:Au_Lemarchand-3.96nm,1,VISNIR_ANY_Au_Lemarchand-3.96nm_0.35_1.1um,Au_Au_Lemarchand-3.96nm;Au_Lemarchand-3.96nm
Au_Au_Lemarchand-4.62nm,VISNIR_ANY_Au_Lemarchand-4.62nm_0.35_1.1um,UNIQUE,middle_exact:Au_Lemarchand-4.62nm,1,VISNIR_ANY_Au_Lemarchand-4.62nm_0.35_1.1um,Au_Au_Lemarchand-4.62nm;Au_Lemarchand-4.62nm
Au_Au_Lemarchand-5.77nm,VISNIR_ANY_Au_Lemarchand-5.77nm_0.35_1.1um,UNIQUE,middle_exact:Au_Lemarchand-5.77nm,1,VISNIR_ANY_Au_Lemarchand-5.77nm_0.35_1.1um,Au_Au_Lemarchand-5.77nm;Au_Lemarchand-5.77nm
Au_Au_Magnozzi-225C,VISNIR_ANY_Au_Magnozzi-225C_0.3_1.1um,UNIQUE,middle_exact:Au_Magnozzi-225C,1,VISNIR_ANY_Au_Magnozzi-225C_0.3_1.1um,Au_Au_Magnozzi-225C;Au_Magnozzi-225C
Au_Au_Magnozzi-25C,VISNIR_ANY_Au_Magnozzi-25C_0.3_1.1um,UNIQUE,middle_exact:Au_Magnozzi-25C,1,VISNIR_ANY_Au_Magnozzi-25C_0.3_1.1um,Au_Au_Magnozzi-25C;Au_Magnozzi-25C
Au_Au_Magnozzi-350C,VISNIR_ANY_Au_Magnozzi-350C_0.3_1.1um,UNIQUE,middle_exact:Au_Magnozzi-350C,1,VISNIR_ANY_Au_Magnozzi-350C_0.3_1.1um,Au_Au_Magnozzi-350C;Au_Magnozzi-350C
Au_Au_McPeak,VISNIR_ANY_Au_McPeak_0.3_1.1um,UNIQUE,middle_exact:Au_McPeak,1,VISNIR_ANY_Au_McPeak_0.3_1.1um,Au_Au_McPeak;Au_McPeak
Au_Au_Olmon-ev,VISNIR_ANY_Au_Olmon-ev_0.3_1.1um,UNIQUE,middle_exact:Au_Olmon-ev,1,VISNIR_ANY_Au_Olmon-ev_0.3_1.1um,Au_Au_Olmon-ev;Au_Olmon-ev
Au_Au_Olmon-sc,VISNIR_ANY_Au_Olmon-sc_0.3_1.1um,UNIQUE,middle_exact:Au_Olmon-sc,1,VISNIR_ANY_Au_Olmon-sc_0.3_1.1um,Au_Au_Olmon-sc;Au_Olmon-sc
Au_Au_Olmon-ts,VISNIR_ANY_Au_Olmon-ts_0.3_1.1um,UNIQUE,middle_exact:Au_Olmon-ts,1,VISNIR_ANY_Au_Olmon-ts_0.3_1.1um,Au_Au_Olmon-ts;Au_Olmon-ts
Au_Au_Rakic-BB,VISNIR_ANY_Au_Rakic-BB_0.3_1.1um,UNIQUE,middle_exact:Au_Rakic-BB,1,VISNIR_ANY_Au_Rakic-BB_0.3_1.1um,Au_Au_Rakic-BB;Au_Rakic-BB
Au_Au_Rakic-LD,VISNIR_ANY_Au_Rakic-LD_0.3_1.1um,UNIQUE,middle_exact:Au_Rakic-LD,1,VISNIR_ANY_Au_Rakic-LD_0.3_1.1um,Au_Au_Rakic-LD;Au_Rakic-LD
Au_Au_Rosenblatt-11nm,VISNIR_ANY_Au_Rosenblatt-11nm_0.3_1.1um,UNIQUE,middle_exact:Au_Rosenblatt-11nm,1,VISNIR_ANY_Au_Rosenblatt-11nm_0.3_1.1um,Au_Au_Rosenblatt-11nm;Au_Rosenblatt-11nm
Au_Au_Rosenblatt-21nm,VISNIR_ANY_Au_Rosenblatt-21nm_0.3_1.1um,UNIQUE,middle_exact:Au_Rosenblatt-21nm,1,VISNIR_ANY_Au_Rosenblatt-21nm_0.3_1.1um,Au_Au_Rosenblatt-21nm;Au_Rosenblatt-21nm
Au_Au_Rosenblatt-44nm,VISNIR_ANY_Au_Rosenblatt-44nm_0.3_1.1um,UNIQUE,middle_exact:Au_Rosenblatt-44nm,1,VISNIR_ANY_Au_Rosenblatt-44nm_0.3_1.1um,Au_Au_Rosenblatt-44nm;Au_Rosenblatt-44nm
Au_Au_Werner,VISNIR_ANY_Au_Werner_0.3_1.1um,UNIQUE,middle_exact:Au_Werner,1,VISNIR_ANY_Au_Werner_0.3_1.1um,Au_Au_Werner;Au_Werner
Au_Au_Werner-DFT,VISNIR_ANY_Au_Werner-DFT_0.3_1.1um,UNIQUE,middle_exact:Au_Werner-DFT,1,VISNIR_ANY_Au_Werner-DFT_0.3_1.1um,Au_Au_Werner-DFT;Au_Werner-DFT
