record_key,material,material_class,book,page,N,family,specific_model,epsilon_rms,absolute_rms,G_rho,FDTD_status,quality_label,model_json
Au_Au_Olmon-ts,Au,metal,Au,Olmon-ts,4.0,CP,SemiCP,0.0015106187372145,0.027147831348294,1.0000000000000004,FDTD_READY,excellent,
Au_Au_Rakic-BB,Au,metal,Au,Rakic-BB,3.0,CP,SemiCP,0.043997452367803,0.4024939197355863,1.000000000000001,FDTD_READY,warning,data/models/Au_Au_Rakic-BB/SemiCP_M3.json
Au_Au_Rakic-LD,Au,metal,Au,Rakic-LD,4.0,CP,SemiCP,0.0009968898631541,0.0222988428827933,1.0000000000000002,FDTD_READY,excellent,
Au_Au_Rosenblatt-11nm,Au,metal,Au,Rosenblatt-11nm,5.0,CP,SemiCP,0.0013275407628616,0.0104915294829802,1.0,FDTD_READY,excellent,
Au_Au_Rosenblatt-21nm,Au,metal,Au,Rosenblatt-21nm,5.0,CP,SemiCP,0.0008048715180665,0.0058955355080737,1.000000000000001,FDTD_READY,excellent,data/models/Au_Au_Rosenblatt-21nm/SemiCP_M5.json
Au_Au_Rosenblatt-44nm,Au,metal,Au,Rosenblatt-44nm,4.0,CP,SemiCP,0.0007073216985015,0.0129983201412947,1.0,FDTD_READY,excellent,
Au_Au_Werner,Au,metal,Au,Werner,3.0,CP,SemiCP,0.0033442193503221,0.0501103206216361,1.0000000000000004,FDTD_READY,excellent,data/models/Au_Au_Werner/SemiCP_M3.json
Au_Au_Werner-DFT,Au,metal,Au,Werner-DFT,3.0,CP,SemiCP,0.0090446212975277,0.1079908135830561,1.0,FDTD_READY,acceptable,
Au_Au_Yakubovsky-117nm,Au,metal,Au,Yakubovsky-117nm,4.0,CP,SemiCP,0.0021710510680331,0.0614672182286447,1.000000000000001,FDTD_READY,excellent,data/models/Au_Au_Yakubovsky-117nm/SemiCP_M4.json
Au_Au_Yakubovsky-25nm,Au,metal,Au,Yakubovsky-25nm,4.0,CP,SemiCP,0.0023808612433724,0.0907911680480605,1.0,FDTD_READY,excellent,
Au_Au_Yakubovsky-4nm,Au,metal,Au,Yakubovsky-4nm,5.0,CP,SemiCP,0.0640063860199064,0.9562775920183116,1.0,FDTD_READY,poor,data/models/Au_Au_Yakubovsky-4nm/SemiCP_M5.json
Au_Au_Yakubovsky-53nm,Au,metal,Au,Yakubovsky-53nm,4.0,CP,SemiCP,0.0021078503058876,0.0642079400451741,1.0,FDTD_READY,excellent,data/models/Au_Au_Yakubovsky-53nm/SemiCP_M4.json
Au_Au_Yakubovsky-6nm,Au,metal,Au,Yakubovsky-6nm,5.0,CP,SemiCP,0.0421730276709207,0.3893351582903484,1.0,FDTD_READY,warning,
Au_Au_Yakubovsky-9nm,Au,metal,Au,Yakubovsky-9nm,5.0,CP,SemiCP,0.0159889902156572,0.2069314290292841,1.0000000000000009,FDTD_READY,warning,data/models/Au_Au_Yakubovsky-9nm/SemiCP_M5.json
BaF2_BaF2_Querry,BaF2,fluoride,BaF2,Querry,1.0,CP,SemiCP,0.0016100764098536,0.0035486385775732,1.0000000065728007,FDTD_READY,excellent,
C_C_Djurisic-o,C,carbon,C,Djurisic-o,4.0,CP,SemiCP,0.0016642823278494,0.0186756503461117,1.0,FDTD_READY,excellent,data/models/C_C_Djurisic-o/SemiCP_M4.json
C_C_Ermolaev,C,carbon,C,Ermolaev,4.0,CP,SemiCP,0.0017521872890753,0.0051133661091112,1.0,FDTD_READY,excellent,data/models/C_C_Ermolaev/SemiCP_M4.json
C_C_Ermolaev-SWCNT-e,C,carbon,C,Ermolaev-SWCNT-e,2.0,CP,SemiCP,0.0001490971647197,0.0003634979904952,1.0,FDTD_READY,excellent,data/models/C_C_Ermolaev-SWCNT-e/SemiCP_M2.json
C_C_Ermolaev-SWCNT-o,C,carbon,C,Ermolaev-SWCNT-o,2.0,CP,SemiCP,0.0005561529454009,0.0017686160285819,1.0000000000000009,FDTD_READY,excellent,data/models/C_C_Ermolaev-SWCNT-o/SemiCP_M2.json
C_C_Hagemann,C,carbon,C,Hagemann,3.0,CP,SemiCP,0.0031972900778046,0.0134993152612518,1.000000000000001,FDTD_READY,excellent,data/models/C_C_Hagemann/SemiCP_M3.json
C_C_Larruquert,C,carbon,C,Larruquert,1.0,CP,SemiCP,0.0048392748163631,0.0327168643325073,1.000000000000001,FDTD_READY,excellent,data/models/C_C_Larruquert/SemiCP_M1.json
C_C_Phillip,C,carbon,C,Phillip,1.0,CP,SemiCP,0.0017942450723246,0.0104125268109299,1.0,FDTD_READY,excellent,data/models/C_C_Phillip/SemiCP_M1.json
C_C_Querry-Asbury3222,C,carbon,C,Querry-Asbury3222,3.0,CP,SemiCP,0.0031808103970784,0.0159577857147419,1.0000000000000024,FDTD_READY,excellent,data/models/C_C_Querry-Asbury3222/SemiCP_M3.json
C_C_Querry-AsburyMicro260,C,carbon,C,Querry-AsburyMicro260,3.0,CP,SemiCP,0.0034033379657769,0.0130180284677246,1.0000000000000016,FDTD_READY,excellent,data/models/C_C_Querry-AsburyMicro260/SemiCP_M3.json
C_C_Querry-Dixon1102,C,carbon,C,Querry-Dixon1102,3.0,CP,SemiCP,0.0021655717924257,0.0084846751801191,1.000000000000003,FDTD_READY,excellent,data/models/C_C_Querry-Dixon1102/SemiCP_M3.json
C_C_Querry-Dixon200-10,C,carbon,C,Querry-Dixon200-10,3.0,CP,SemiCP,0.0045320838075435,0.0257778884807951,1.0000000000000002,FDTD_READY,excellent,data/models/C_C_Querry-Dixon200-10/SemiCP_M3.json
C_C_Querry-DixonHPN2,C,carbon,C,Querry-DixonHPN2,3.0,CP,SemiCP,0.0028638126403958,0.0126859019108704,1.000000000000001,FDTD_READY,excellent,data/models/C_C_Querry-DixonHPN2/SemiCP_M3.json
C_C_Querry-DixonKS2,C,carbon,C,Querry-DixonKS2,3.0,CP,SemiCP,0.0027421123884377,0.0097459357383408,1.0,FDTD_READY,excellent,
C_C_Querry-Pyrolytic,C,carbon,C,Querry-Pyrolytic,2.0,CP,SemiCP,0.0039622999057835,0.0135448129980861,1.0000000000000002,FDTD_READY,excellent,data/models/C_C_Querry-Pyrolytic/SemiCP_M2.json
C_C_Song,C,carbon,C,Song,,none,none,,,,NO_FDTD_READY_MODEL,no_model,
C_C_Song-cHOPG-e,C,carbon,C,Song-cHOPG-e,1.0,CP,SemiCP,0.001088437961269,0.0023539869412713,1.0000000000000002,FDTD_READY,excellent,
C_C_Song-cHOPG-o,C,carbon,C,Song-cHOPG-o,4.0,RP,RP,0.0010678661393963,0.009583371729323,1.0,SELECTED_FDTD_READY,excellent,data/models/C_C_Song-cHOPG-o/RP_M4.json
C_C_Song-sHOPG-e,C,carbon,C,Song-sHOPG-e,1.0,CP,SemiCP,0.0074213948173937,0.0134359733533027,1.0000000054495424,FDTD_READY,acceptable,
C_C_Song-sHOPG-o,C,carbon,C,Song-sHOPG-o,2.0,CP,SemiCP,0.0150200155080849,0.1004502624981847,1.0,FDTD_READY,warning,data/models/C_C_Song-sHOPG-o/SemiCP_M2.json
C_C_Taylor,C,carbon,C,Taylor,1.0,CP,SemiCP,1.4096304104580478e-05,8.566664831800313e-05,1.0000000000000009,FDTD_READY,excellent,data/models/C_C_Taylor/SemiCP_M1.json
C_C_Tikuisis,C,carbon,C,Tikuisis,3.0,CP,SemiCP,0.0012734864980782,0.0135003210551124,1.0000000000000018,FDTD_READY,excellent,data/models/C_C_Tikuisis/SemiCP_M3.json
CdTe_CdTe_Adachi,CdTe,semiconductor,CdTe,Adachi,5.0,RP,RP,0.0053066025602807,0.050733016270678,1.0,SELECTED_FDTD_READY,acceptable,data/models/CdTe_CdTe_Adachi/RP_M5.json
Co_Co_Johnson,Co,metal,Co,Johnson,5.0,CP,SemiCP,0.0090582991952042,0.2240746261949331,1.0000000000000016,FDTD_READY,acceptable,data/models/Co_Co_Johnson/SemiCP_M5.json
Co_Co_Werner,Co,metal,Co,Werner,3.0,CP,SemiCP,0.0039813318170572,0.3267825135571937,1.0,FDTD_READY,excellent,data/models/Co_Co_Werner/SemiCP_M3.json
Co_Co_Werner-DFT,Co,metal,Co,Werner-DFT,4.0,CP,SemiCP,0.0142927529410384,0.6345778859167246,1.0000000000000024,FDTD_READY,warning,data/models/Co_Co_Werner-DFT/SemiCP_M4.json
Cr_Cr_Johnson,Cr,metal,Cr,Johnson,3.0,CP,SemiCP,0.0397581749833584,0.781055319763344,1.0,FDTD_READY,warning,data/models/Cr_Cr_Johnson/SemiCP_M3.json
Cr_Cr_Rakic-BB,Cr,metal,Cr,Rakic-BB,2.0,CP,SemiCP,0.0005933223988476,0.0130279825923638,1.0,FDTD_READY,excellent,
Cr_Cr_Rakic-LD,Cr,metal,Cr,Rakic-LD,2.0,CP,SemiCP,0.0015214404537129,0.0308110772769789,1.0,FDTD_READY,excellent,data/models/Cr_Cr_Rakic-LD/SemiCP_M2.json
Cr_Cr_Sytchkova,Cr,metal,Cr,Sytchkova,4.0,CP,SemiCP,0.000942746402567,0.0340825433610399,1.0000000000000009,FDTD_READY,excellent,data/models/Cr_Cr_Sytchkova/SemiCP_M4.json
Cu_Cu_Babar,Cu,metal,Cu,Babar,4.0,CP,SemiCP,0.0075270628975116,0.0574773162371748,1.0000002742765943,FDTD_READY,acceptable,data/models/Cu_Cu_Babar/SemiCP_M4.json
