material,record_key,record_label,book,page,material_class,record_json,raw_database_points,fitting_grid_points,wavelength_range_um,wavelength_range_source,fdtd_ready_exported_model_count,fdtd_ready_count,FDTD_ready_count,recommended_N,recommended_public_family,recommended_model_code,recommended_epsilon_rms,model_order_count,fit_wl_min_um,fit_wl_max_um,n_model_rows,n_exportable_rows,has_recommendation,recommended_family,recommended_model_json,recommended_model_curve,source_record_key
Al2O3,Al2O3_Al2O3_Franta,Al2O3 / Franta,Al2O3,Franta,,records/Al2O3_Al2O3_Franta.json,experimental/Al2O3_Al2O3_Franta/raw_database_points.json,experimental/Al2O3_Al2O3_Franta/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,15,15,15,1.0,AnalyticalCP,CP_M1,0.0007261530709098,5,0.3,1.1,15,15,True,CP,models/VISNIR_ANY_Al2O3_Franta_0.3_1.1um/CP_M1.json,model_curves/VISNIR_ANY_Al2O3_Franta_0.3_1.1um/CP_M1.json,VISNIR_ANY_Al2O3_Franta_0.3_1.1um
Al2O3,Al2O3_Al2O3_Querry-e,Al2O3 / Querry-e,Al2O3,Querry-e,,records/Al2O3_Al2O3_Querry-e.json,experimental/Al2O3_Al2O3_Querry-e/raw_database_points.json,experimental/Al2O3_Al2O3_Querry-e/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,15,15,15,2.0,SemiAnalyticalCP,SCP_M2,0.0033850999789282,5,0.3,1.1,15,15,True,SCP,models/VISNIR_ANY_Al2O3_Querry-e_0.3_1.1um/SCP_M2.json,model_curves/VISNIR_ANY_Al2O3_Querry-e_0.3_1.1um/SCP_M2.json,VISNIR_ANY_Al2O3_Querry-e_0.3_1.1um
Al2O3,Al2O3_Al2O3_Querry-o,Al2O3 / Querry-o,Al2O3,Querry-o,,records/Al2O3_Al2O3_Querry-o.json,experimental/Al2O3_Al2O3_Querry-o/raw_database_points.json,experimental/Al2O3_Al2O3_Querry-o/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,14,14,14,2.0,SemiAnalyticalCP,SCP_M2,0.0035910629032663,5,0.3,1.1,15,14,True,SCP,models/VISNIR_ANY_Al2O3_Querry-o_0.3_1.1um/SCP_M2.json,model_curves/VISNIR_ANY_Al2O3_Querry-o_0.3_1.1um/SCP_M2.json,VISNIR_ANY_Al2O3_Querry-o_0.3_1.1um
Al2O3,Al2O3_Al2O3_Querry,Al2O3 / Querry,Al2O3,Querry,,records/Al2O3_Al2O3_Querry.json,experimental/Al2O3_Al2O3_Querry/raw_database_points.json,experimental/Al2O3_Al2O3_Querry/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,5,5,5,3.0,SemiAnalyticalCP,SCP_M3,0.0014014505668098,5,0.3,1.1,15,5,True,SCP,models/VISNIR_ANY_Al2O3_Querry_0.3_1.1um/SCP_M3.json,model_curves/VISNIR_ANY_Al2O3_Querry_0.3_1.1um/SCP_M3.json,VISNIR_ANY_Al2O3_Querry_0.3_1.1um
Al2O3,Al2O3_Al2O3_Rodriguez_de_Marcos,Al2O3 / Rodriguez de Marcos,Al2O3,Rodriguez de Marcos,,records/Al2O3_Al2O3_Rodriguez_de_Marcos.json,experimental/Al2O3_Al2O3_Rodriguez_de_Marcos/raw_database_points.json,experimental/Al2O3_Al2O3_Rodriguez_de_Marcos/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,15,15,15,1.0,AnalyticalCP,CP_M1,0.001265326365451,5,0.3,1.1,15,15,True,CP,models/VISNIR_ANY_Al2O3_Rodriguez_de_Marcos_0.3_1.1um/CP_M1.json,model_curves/VISNIR_ANY_Al2O3_Rodriguez_de_Marcos_0.3_1.1um/CP_M1.json,VISNIR_ANY_Al2O3_Rodriguez_de_Marcos_0.3_1.1um
Al2O3,Al2O3_Al2O3_Zhukovsky,Al2O3 / Zhukovsky,Al2O3,Zhukovsky,,records/Al2O3_Al2O3_Zhukovsky.json,experimental/Al2O3_Al2O3_Zhukovsky/raw_database_points.json,experimental/Al2O3_Al2O3_Zhukovsky/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,15,15,15,1.0,RP,RP_M1,1.1889696496858635e-05,5,0.3,1.1,15,15,True,RP,models/VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um/RP_M1.json,model_curves/VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um/RP_M1.json,VISNIR_ANY_Al2O3_Zhukovsky_0.3_1.1um
AlAs,AlAs_AlAs_Gadras,AlAs / Gadras,AlAs,Gadras,,records/AlAs_AlAs_Gadras.json,experimental/AlAs_AlAs_Gadras/raw_database_points.json,experimental/AlAs_AlAs_Gadras/fitting_grid_points.json,"[0.4502291, 1.1]",fitting_grid_points,14,14,14,2.0,SemiAnalyticalCP,SCP_M2,0.0011146314270633,5,0.4502291,1.1,15,14,True,SCP,models/VISNIR_ANY_AlAs_Gadras_0.4502_1.1um/SCP_M2.json,model_curves/VISNIR_ANY_AlAs_Gadras_0.4502_1.1um/SCP_M2.json,VISNIR_ANY_AlAs_Gadras_0.4502_1.1um
AlAs,AlAs_AlAs_Rakic,AlAs / Rakic,AlAs,Rakic,,records/AlAs_AlAs_Rakic.json,experimental/AlAs_AlAs_Rakic/raw_database_points.json,experimental/AlAs_AlAs_Rakic/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,12,12,12,5.0,RP,RP_M5,0.0039761971880291,5,0.3,1.1,15,12,True,RP,models/VISNIR_ANY_AlAs_Rakic_0.3_1.1um/RP_M5.json,model_curves/VISNIR_ANY_AlAs_Rakic_0.3_1.1um/RP_M5.json,VISNIR_ANY_AlAs_Rakic_0.3_1.1um
AlN,AlN_AlN_Beliaev1,AlN / Beliaev1,AlN,Beliaev1,,records/AlN_AlN_Beliaev1.json,experimental/AlN_AlN_Beliaev1/raw_database_points.json,experimental/AlN_AlN_Beliaev1/fitting_grid_points.json,"[0.3, 1.1]",fitting_grid_points,9,9,9,1.0,SemiAnalyticalCP,SCP_M1,0.0003286434835333,5,0.3,1.1,15,9,True,SCP,models/VISNIR_ANY_AlN_Beliaev1_0.3_1.1um/SCP_M1.json,model_curves/VISNIR_ANY_AlN_Beliaev1_0.3_1.1um/SCP_M1.json,VISNIR_ANY_AlN_Beliaev1_0.3_1.1um
Al,Al_Al_Cheng,Al / Cheng,Al,Cheng,,records/Al_Al_Cheng.json,experimental/Al_Al_Cheng/raw_database_points.json,experimental/Al_Al_Cheng/fitting_grid_points.json,"[0.3, 0.99987]",fitting_grid_points,5,5,5,3.0,SemiAnalyticalCP,SCP_M3,0.0012520124233734,5,0.3,0.99987,15,5,True,SCP,models/VISNIR_ANY_Al_Cheng_0.3_0.9999um/SCP_M3.json,model_curves/VISNIR_ANY_Al_Cheng_0.3_0.9999um/SCP_M3.json,VISNIR_ANY_Al_Cheng_0.3_0.9999um
