record_key,material,book,page,recommended,N,family,public_family,public_model_code,internal_model_code,epsilon_rms,absolute_rms,G_rho,model_json,model_curve,selection_mode,reason
Fe_Fe_Werner,Fe,Fe,Werner,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.0183693212401815,3.574666272982955,1.0000000000000009,data/models/Fe_Fe_Werner/CP_M5_B.json,data/model_curves/Fe_Fe_Werner/CP_M5_B.json,lowest_RMS_no_primary_target,
Fe_Fe_Werner-DFT,Fe,Fe,Werner-DFT,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.0044953832473374,0.1004796099757073,1.0000000000000009,data/models/Fe_Fe_Werner-DFT/CP_M5_B.json,data/model_curves/Fe_Fe_Werner-DFT/CP_M5_B.json,smallest_N_meeting_primary_target_0.005,
GaAs_GaAs_Adachi,GaAs,GaAs,Adachi,True,5.0,CP,CP,CP_M5,CP_M5_A,0.0545216334705746,1.2838039693078305,1.0,data/models/GaAs_GaAs_Adachi/CP_M5_A.json,data/model_curves/GaAs_GaAs_Adachi/CP_M5_A.json,lowest_RMS_no_primary_target,
GaAs_GaAs_Aspnes,GaAs,GaAs,Aspnes,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.0083654043597644,0.1807846909898551,1.0000000563271,data/models/GaAs_GaAs_Aspnes/CP_M5_B.json,data/model_curves/GaAs_GaAs_Aspnes/CP_M5_B.json,lowest_RMS_no_primary_target,
GaAs_GaAs_Franta-300K,GaAs,GaAs,Franta-300K,True,1.0,RP,RP,RP_M1,RP_M1,0.0004686297560153,0.0057461415695408,1.0000000004291052,data/models/GaAs_GaAs_Franta-300K/RP_M1.json,data/model_curves/GaAs_GaAs_Franta-300K/RP_M1.json,smallest_N_meeting_primary_target_0.005,
GaAs_GaAs_Franta-370K,GaAs,GaAs,Franta-370K,True,1.0,RP,RP,RP_M1,RP_M1,0.0003092259392027,0.0038228476901349,1.0000000003951992,data/models/GaAs_GaAs_Franta-370K/RP_M1.json,data/model_curves/GaAs_GaAs_Franta-370K/RP_M1.json,smallest_N_meeting_primary_target_0.005,
GaAs_GaAs_Franta-440K,GaAs,GaAs,Franta-440K,True,1.0,RP,RP,RP_M1,RP_M1,0.0001825709153694,0.0022771383761226,1.000000000359917,data/models/GaAs_GaAs_Franta-440K/RP_M1.json,data/model_curves/GaAs_GaAs_Franta-440K/RP_M1.json,smallest_N_meeting_primary_target_0.005,
GaAs_GaAs_Gadras,GaAs,GaAs,Gadras,True,4.0,CP,CP,CP_M4,CP_M4_A,0.0046608173880242,0.084061307367236,1.0000000000000002,data/models/GaAs_GaAs_Gadras/CP_M4_A.json,data/model_curves/GaAs_GaAs_Gadras/CP_M4_A.json,smallest_N_meeting_primary_target_0.005,
GaAs_GaAs_Jellison,GaAs,GaAs,Jellison,True,5.0,SCP,CP,CP_M5,CP_M5_B,0.0050584839390905,0.0896523107778656,1.000000000000001,data/models/GaAs_GaAs_Jellison/CP_M5_B.json,data/model_curves/GaAs_GaAs_Jellison/CP_M5_B.json,lowest_RMS_no_primary_target,
GaAs_GaAs_Ozaki,GaAs,GaAs,Ozaki,True,4.0,SCP,CP,CP_M4,CP_M4_B,0.0322833566921471,0.4324048065803279,1.0,data/models/GaAs_GaAs_Ozaki/CP_M4_B.json,data/model_curves/GaAs_GaAs_Ozaki/CP_M4_B.json,lowest_RMS_no_primary_target,
