record_key,material,material_class,book,page,N,selected_family,selected_specific_model,selected_epsilon_rms,selected_abs_rms,selected_G_rho,quality_label,selected_model_json
Ag_Ag_Ferrera-600K,Ag,metal,Ag,Ferrera-600K,3,CP,SemiCP,0.0160079299098117,0.1901986782528154,1.0000006349041417,warning,data/models/Ag_Ag_Ferrera-600K/SemiCP_M3.json
Ag_Ag_Ferrera-600K,Ag,metal,Ag,Ferrera-600K,4,CP,SemiCP,0.0175200124153373,0.2182112357807041,1.0000000000000002,warning,data/models/Ag_Ag_Ferrera-600K/SemiCP_M4.json
Ag_Ag_Ferrera-600K,Ag,metal,Ag,Ferrera-600K,5,CP,CP,0.0318199842884793,0.9906143573836956,1.0000000000000016,warning,data/models/Ag_Ag_Ferrera-600K/CP_M5.json
Ag_Ag_Hagemann,Ag,metal,Ag,Hagemann,1,CP,SemiCP,0.1826341350252416,2.65889100570025,1.0000000000000002,poor,
Ag_Ag_Hagemann,Ag,metal,Ag,Hagemann,2,CP,SemiCP,0.0197804712648257,0.1793209758202486,1.0000003731204743,warning,
Ag_Ag_Hagemann,Ag,metal,Ag,Hagemann,3,CP,SemiCP,0.0107380678640149,0.0787968748635406,1.0,warning,
Ag_Ag_Hagemann,Ag,metal,Ag,Hagemann,4,CP,SemiCP,0.0104443609636023,0.0601428106204916,1.0000000000000009,warning,
Ag_Ag_Hagemann,Ag,metal,Ag,Hagemann,5,CP,SemiCP,0.0104447188907366,0.0722329596441325,1.0000000000000004,warning,
Ag_Ag_Jiang,Ag,metal,Ag,Jiang,1,CP,SemiCP,0.1233931066245541,1.5934881361256374,1.0000000000000004,poor,data/models/Ag_Ag_Jiang/SemiCP_M1.json
Ag_Ag_Jiang,Ag,metal,Ag,Jiang,2,CP,SemiCP,0.0246689985205911,0.298529763163994,1.0,warning,data/models/Ag_Ag_Jiang/SemiCP_M2.json
Ag_Ag_Jiang,Ag,metal,Ag,Jiang,3,CP,SemiCP,0.0122018507003083,0.0749517542688509,1.0000000000000002,warning,data/models/Ag_Ag_Jiang/SemiCP_M3.json
Ag_Ag_Jiang,Ag,metal,Ag,Jiang,4,CP,SemiCP,0.0035896730684492,0.0164792291946065,1.0000000000000009,excellent,data/models/Ag_Ag_Jiang/SemiCP_M4.json
Ag_Ag_Jiang,Ag,metal,Ag,Jiang,5,CP,SemiCP,0.0006159545866618,0.0043946243489525,1.0000000000000009,excellent,data/models/Ag_Ag_Jiang/SemiCP_M5.json
Ag_Ag_Johnson,Ag,metal,Ag,Johnson,1,CP,SemiCP,0.1659225262874781,2.395892744391118,1.00000012149257,poor,data/models/Ag_Ag_Johnson/SemiCP_M1.json
Ag_Ag_Johnson,Ag,metal,Ag,Johnson,2,CP,SemiCP,0.0337758714393772,0.47683802104502,1.0000000889436291,warning,data/models/Ag_Ag_Johnson/SemiCP_M2.json
