material_class,material_query,book,page,record_index,N,unusable_family,unusable_RMS,unusable_G_rho,unusable_FDTD_status,selected_family,selected_specific_model,selected_RMS,RMS_ratio_selected_over_unusable
semiconductor,Si,Si,Franta,15,3,RP,0.0015359095976959,2.8127850220505657,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0019969085876237,1.3001472160987662
semiconductor,Ge,Ge,Nunley,1,3,RP,0.035494251845718,1.0915181043763809,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.045720789395871,1.2881181323275792
semiconductor,GaSb,GaSb,Djurisic,2,1,RP,0.1315575312960565,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1652021396328085,1.2557406482570606
semiconductor,InSb,InSb,Adachi,1,2,RP,0.1519114035266753,1.033564529243169,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1902796053643227,1.252569596139042
semiconductor,Si,Si,Franta-450K,11,5,RP,0.001145869354162,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0013788473994173,1.2033199024034307
semiconductor,Si,Si,Franta-400K,10,1,RP,0.2800756119697925,1.0000267903960254,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.3306045460397063,1.1804117599334696
semiconductor,Si,Si,Franta-150K,3,1,RP,0.2705089651807351,1.0000040727093251,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.318306788899342,1.1766958950387163
semiconductor,Si,Si,Green-1995,23,4,RP,0.1419090202122347,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.1655448467641641,1.1665561957695176
semiconductor,InAs,InAs,Adachi,1,5,RP,0.1191359003446413,1.0000055563248664,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.1355594024299895,1.1378551892237152
semiconductor,Si,Si,Franta-350K,9,1,RP,0.2983957390780278,1.0000173554688825,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.3283159394617748,1.1002701998232056
semiconductor,Si,Si,Franta-20C,5,1,RP,0.3019069584111105,1.0000137577471062,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.3250951579385423,1.076805780328707
semiconductor,Si,Si,Franta-25C,7,1,RP,0.3061862141579407,1.0000125807598723,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.3255922562001379,1.0633798686709877
semiconductor,Si,Si,Franta,15,4,RP,0.0014662190614713,2.655201352736268,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0015295947955566,1.0432239190927615
semiconductor,GaAs,GaAs,Rakic,2,4,RP,0.0164101853522324,1.0173599028162892,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0166070631020017,1.0119972898260114
transparent_dielectric_oxide,SiO2,SiO2,Gao,6,5,RP,2.04367759181627e-05,,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0010166779504854,49.74747262271695
transparent_dielectric_oxide,SiO2,SiO2,Gao,6,3,RP,6.53597563105367e-05,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0003193474623776,4.885995303598122
transparent_dielectric_oxide,Sc2O3,Sc2O3,Belosludtsev,1,3,RP,0.0009110742436289,1.000196522046649,NOT_FDTD_READY_G_UNSTABLE,CP,AnalyticalCP,0.0041595874654795,4.565585620016483
transparent_dielectric_oxide,Al2O3,Al2O3,Boidin,7,2,RP,0.0013199662517223,,NOT_EXPORTED_OR_AUDIT_REJECTED,CP,SemiCP,0.0036625254067257,2.774711400345891
transparent_dielectric_oxide,Al2O3,Al2O3,Franta,2,5,RP,4.460947979677686e-05,1.0000027546382857,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,8.881665214940492e-05,1.9909815705993088
transparent_dielectric_oxide,SiO2,SiO2,Lemarchand,5,2,RP,1.8421590852151065e-05,,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,2.4511394261459525e-05,1.3305796691601888
transparent_dielectric_oxide,Al2O3,Al2O3,Boidin,7,3,RP,0.0070812544174165,1.0002139723204082,NOT_FDTD_READY_G_UNSTABLE,CP,SemiCP,0.0088639511039506,1.2517487130739884
