material_class,material_query,book,page,record_index,N,RP_RMS,RP_G_rho,RP_FDTD_status,RP_FDTD_ready,CP_family_specific_model,CP_family_RMS,CP_family_G_rho,CP_family_model_json,raw_database_points_json,fitting_grid_points_json
carbon,C,C,Querry-AsburyMicro260,12,2,0.0253591528551509,1.000454498232269,NOT_FDTD_READY_G_UNSTABLE,False,AnalyticalCP,0.0074831412510513,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Querry-AsburyMicro260/CP_M2.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-AsburyMicro260/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-AsburyMicro260/fitting_grid_points.json
carbon,C,C,Querry-AsburyMicro260,12,3,0.0058630899669486,1.1129530731277433,NOT_FDTD_READY_G_UNSTABLE,False,SemiCP,0.0034033379657769,1.0000000000000016,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Querry-AsburyMicro260/SCP_M3.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-AsburyMicro260/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-AsburyMicro260/fitting_grid_points.json
carbon,C,C,Querry-AsburyMicro260,12,4,0.0115410680517921,1.0107231514644366,NOT_FDTD_READY_G_UNSTABLE,False,SemiCP,0.003101026266595,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Querry-AsburyMicro260/SCP_M4.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-AsburyMicro260/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-AsburyMicro260/fitting_grid_points.json
carbon,C,C,Querry-AsburyMicro260,12,5,0.0075226883739471,1.0074618999043017,NOT_FDTD_READY_G_UNSTABLE,False,SemiCP,0.0010769508496245,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Querry-AsburyMicro260/SCP_M5.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-AsburyMicro260/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-AsburyMicro260/fitting_grid_points.json
carbon,C,C,Querry-Dixon1102,10,1,0.1452233673550199,1.0016460676313814,NOT_FDTD_READY_G_UNSTABLE,False,SemiCP,0.1078286650157672,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Querry-Dixon1102/SCP_M1.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-Dixon1102/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-Dixon1102/fitting_grid_points.json
carbon,C,C,Querry-Dixon1102,10,2,0.0221449739478189,1.0125738434049536,NOT_FDTD_READY_G_UNSTABLE,False,AnalyticalCP,0.0074467081801681,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Querry-Dixon1102/CP_M2.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-Dixon1102/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-Dixon1102/fitting_grid_points.json
carbon,C,C,Querry-Dixon200-10,13,1,0.1561554524592496,1.0006487330051337,NOT_FDTD_READY_G_UNSTABLE,False,SemiCP,0.1174422433716785,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Querry-Dixon200-10/SCP_M1.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-Dixon200-10/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-Dixon200-10/fitting_grid_points.json
carbon,C,C,Querry-Dixon200-10,13,2,0.0314840568540356,1.0086221306145298,NOT_FDTD_READY_G_UNSTABLE,False,SemiCP,0.0107751315886323,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Querry-Dixon200-10/SCP_M2.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-Dixon200-10/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-Dixon200-10/fitting_grid_points.json
carbon,C,C,Querry-Dixon200-10,13,3,0.0201039005485882,1.001253235661829,NOT_FDTD_READY_G_UNSTABLE,False,SemiCP,0.0045320838075435,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Querry-Dixon200-10/SCP_M3.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-Dixon200-10/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-Dixon200-10/fitting_grid_points.json
carbon,C,C,Querry-Dixon200-10,13,4,0.0061164944428974,1.0548466240045502,NOT_FDTD_READY_G_UNSTABLE,False,SemiCP,0.0020624081507767,1.0000000000000022,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/C_C_Querry-Dixon200-10/SCP_M4.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-Dixon200-10/raw_database_points.json,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/experimental/C_C_Querry-Dixon200-10/fitting_grid_points.json
