record_id,material_query,book,page,record_index,record_label,material_class,final_family,final_specific_model,final_N,final_RMS,final_abs_RMS,final_G_rho,final_model_json,final_selection_mode,final_quality_band,final_meets_primary_target,final_meets_secondary_target
ZnO|ZnO|Querry|1,ZnO,ZnO,Querry,1,ZnO / ZnO / Querry / rec1,TCO_or_semiconducting_oxide,CP,SemiCP,3.0,0.044675797087864,0.109039247993731,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/ZnO_ZnO_Querry/SCP_M3.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Au|Au|Rakic-BB|8,Au,Au,Rakic-BB,8,Au / Au / Rakic-BB / rec8,metal,CP,SemiCP,3.0,0.043997452367803,0.4024939197355863,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Au_Au_Rakic-BB/SCP_M3.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Au|Au|Yakubovsky-6nm|18,Au,Au,Yakubovsky-6nm,18,Au / Au / Yakubovsky-6nm / rec18,metal,CP,SemiCP,5.0,0.0421730276709207,0.3893351582903484,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Au_Au_Yakubovsky-6nm/SCP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
W|W|Rakic-BB|4,W,W,Rakic-BB,4,W / W / Rakic-BB / rec4,metal,CP,SemiCP,3.0,0.0416432761358639,0.8000245367778828,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/W_W_Rakic-BB/SCP_M3.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Cu|Cu|McPeak|9,Cu,Cu,McPeak,9,Cu / Cu / McPeak / rec9,metal,CP,AnalyticalCP,4.0,0.0409908475293525,0.8685326913923139,1.0000000000000002,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Cu_Cu_McPeak/CP_M4.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Ag|Ag|Ferrera-298K|9,Ag,Ag,Ferrera-298K,9,Ag / Ag / Ferrera-298K / rec9,metal,CP,SemiCP,2.0,0.0397976611640384,0.598150354140094,1.0000002272519537,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ag_Ag_Ferrera-298K/SCP_M2.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Cr|Cr|Johnson|1,Cr,Cr,Johnson,1,Cr / Cr / Johnson / rec1,metal,CP,SemiCP,3.0,0.0397581749833584,0.781055319763344,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Cr_Cr_Johnson/SCP_M3.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Ag|Ag|Ferrera-404K|10,Ag,Ag,Ferrera-404K,10,Ag / Ag / Ferrera-404K / rec10,metal,CP,SemiCP,2.0,0.02921852527477,0.5458273633101567,1.0000002501886651,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ag_Ag_Ferrera-404K/SCP_M2.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Au|Au|Johnson|4,Au,Au,Johnson,4,Au / Au / Johnson / rec4,metal,CP,AnalyticalCP,5.0,0.0276491722584691,0.5106435381880639,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Au_Au_Johnson/CP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Pd|Pd|Johnson|3,Pd,Pd,Johnson,3,Pd / Pd / Johnson / rec3,metal,CP,SemiCP,3.0,0.0264428869936192,0.4114594290394175,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Pd_Pd_Johnson/SCP_M3.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Ti|Ti|Johnson|3,Ti,Ti,Johnson,3,Ti / Ti / Johnson / rec3,metal,CP,SemiCP,5.0,0.025634150740388,0.5832879556069916,1.0000000000000004,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ti_Ti_Johnson/SCP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Ag|Ag|Johnson|4,Ag,Ag,Johnson,4,Ag / Ag / Johnson / rec4,metal,CP,SemiCP,3.0,0.0254852896402148,0.1687570645399593,1.000000123092168,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ag_Ag_Johnson/SCP_M3.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Fe|Fe|Johnson|3,Fe,Fe,Johnson,3,Fe / Fe / Johnson / rec3,metal,CP,SemiCP,5.0,0.0240863002580888,0.3991320979356258,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Fe_Fe_Johnson/SCP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
W|W|Weaver|3,W,W,Weaver,3,W / W / Weaver / rec3,metal,CP,SemiCP,5.0,0.0233042005969718,0.4896307922111253,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/W_W_Weaver/SCP_M5.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Ag|Ag|Ferrera-501K|11,Ag,Ag,Ferrera-501K,11,Ag / Ag / Ferrera-501K / rec11,metal,CP,SemiCP,2.0,0.021977405941958,0.3747194766390178,1.0000002864370678,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ag_Ag_Ferrera-501K/SCP_M2.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
Ni|Ni|Johnson|3,Ni,Ni,Johnson,3,Ni / Ni / Johnson / rec3,metal,CP,SemiCP,4.0,0.0192211234437147,0.4707168391124985,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ni_Ni_Johnson/SCP_M4.json,lowest_RMS_no_primary_target,usable_but_high_RMS,False,False
