material_class,material_query,book,page,record_index,N,RP_RMS,RP_abs_RMS,RP_G_rho,RP_model_json,CP_family_RMS,CP_family_specific_model,CP_family_G_rho,CP_family_model_json,CP_vs_RP_log10_RMS_gain,selected_reason
high_k_oxide,Ta2O5,Ta2O5,Cheikh-amorphous-3.28-4-25,6,4,4.732778813216952e-06,2.5533198853897888e-05,1.0000000345860904,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ta2O5_Ta2O5_Cheikh-amorphous-3.28-4-25/RP_M4.json,7.27099352332216e-06,SemiCP,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ta2O5_Ta2O5_Cheikh-amorphous-3.28-4-25/SCP_M4.json,-0.1864775496376768,both_usable_RP_lower_RMS
high_k_oxide,Ta2O5,Ta2O5,Cheikh-amorphous-3.28-8-25,7,4,4.068663138062091e-06,2.258399702199297e-05,1.000000031170266,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ta2O5_Ta2O5_Cheikh-amorphous-3.28-8-25/RP_M4.json,8.908283474006217e-05,AnalyticalCP,1.00000000000377,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ta2O5_Ta2O5_Cheikh-amorphous-3.28-8-25/CP_M4.json,-1.3403422941849377,both_usable_RP_lower_RMS
high_k_oxide,Ta2O5,Ta2O5,Cheikh-amorphous-3.28-8-550,9,4,9.663875597910614e-06,4.770078070897043e-05,1.000000033892394,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ta2O5_Ta2O5_Cheikh-amorphous-3.28-8-550/RP_M4.json,,,,,,RP_usable_CP_unusable
high_k_oxide,Ta2O5,Ta2O5,Cheikh-amorphous-4.38-12-25,10,5,3.797195905100083e-05,0.0001945185127983,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ta2O5_Ta2O5_Cheikh-amorphous-4.38-12-25/RP_M5.json,4.352354717031889e-05,SemiCP,1.0000000273172274,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/Ta2O5_Ta2O5_Cheikh-amorphous-4.38-12-25/SCP_M5.json,-0.05926127928700324,both_usable_RP_lower_RMS
high_k_oxide,TiO2,TiO2,Franta,1,4,0.0008106056728686,0.0046325108884996,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Franta/RP_M4.json,0.0009262104732299,AnalyticalCP,1.0000000000000022,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Franta/CP_M4.json,-0.057900048776626155,both_usable_RP_lower_RMS
high_k_oxide,TiO2,TiO2,Sarkar,4,2,0.005316085426309,0.0335849719762259,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Sarkar/RP_M2.json,0.0057119932163646,SemiCP,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Sarkar/SCP_M2.json,-0.031195731815810344,both_usable_RP_lower_RMS
high_k_oxide,TiO2,TiO2,Siefke,2,2,0.0050264474352661,0.0387482266592314,1.0000009583871563,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Siefke/RP_M2.json,0.0051693262718124,AnalyticalCP,1.0000007879922326,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Siefke/CP_M2.json,-0.012172799127921345,both_usable_RP_lower_RMS
high_k_oxide,TiO2,TiO2,Zhukovsky,3,3,0.0020560607056716,0.0196530150785376,1.0,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Zhukovsky/RP_M3.json,0.0028355246416134,AnalyticalCP,1.0000009134912533,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Zhukovsky/CP_M3.json,-0.1395974926376142,both_usable_RP_lower_RMS
high_k_oxide,TiO2,TiO2,Zhukovsky,3,4,0.0006127476690685,0.0051842705752848,1.000000000000001,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Zhukovsky/RP_M4.json,0.0006437277139936,SemiCP,1.00000036820495,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Zhukovsky/SCP_M4.json,-0.021420539088212443,both_usable_RP_lower_RMS
high_k_oxide,TiO2,TiO2,Zhukovsky,3,5,0.0003629406042883,0.0031623192353204,1.0000000000000009,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Zhukovsky/RP_M5.json,0.0005710677415669,AnalyticalCP,1.000000343152986,batch_database_RI_to_FDTDready_RP_CP_SCP_v22_parallel_VISNIR_common_N1_to_N5_web/00_FINAL_RP_CP_JSON_EXP_AND_SUMMARY/stable_model_json_by_N/TiO2_TiO2_Zhukovsky/CP_M5.json,-0.19685207047992556,both_usable_RP_lower_RMS
